"psy_item","item","item_full","description","language","type","psy_option","auth"
"iRL_therm_14:2","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","or","qual-pre"
"iRL_therm_14:3","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","eff-link-det","qual-pre"
"iRL_therm_14:4","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","eff-link-nondet","qual-pre"
"iRL_therm_14:5","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","contr","qual-pre"
"iRL_therm_14:6","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","contr-pos","qual-pre"
"iRL_therm_14:7","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","contr-neg","qual-pre"
"iRL_therm_14:8","therm_item14_relationships","Heater On ___________ Maintain Ideal Temperature (current level)","therm","iRL","relationship","None","qual-pre"
"iRL_therm_15:1","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","and","or"
"iRL_therm_15:2","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","or","or"
"iRL_therm_15:3","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","eff-link-det","or"
"iRL_therm_15:4","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","eff-link-nondet","or"
"iRL_therm_15:5","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","contr","or"
"iRL_therm_15:6","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","contr-pos","or"
"iRL_therm_15:7","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","contr-neg","or"
"iRL_therm_15:8","therm_item15_relationships","Minimize Running Time ___________ Minimize Cost","therm","iRL","relationship","None","or"
"iRL_therm_16:1","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","and","or"
"iRL_therm_16:2","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","or","or"
"iRL_therm_16:3","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","eff-link-det","or"
"iRL_therm_16:4","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","eff-link-nondet","or"
"iRL_therm_16:5","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","contr","or"
"iRL_therm_16:6","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","contr-pos","or"
"iRL_therm_16:7","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","contr-neg","or"
"iRL_therm_16:8","therm_item16_relationships","Maintain Ideal Temperature __________ Maximize Comfort","therm","iRL","relationship","None","or"
